image_id,labels_1,labels_2
case0005_001,Valid,Valid
case0005_002,Not Valid,Valid
case0005_003,Not Valid,Valid
case0012_001,Valid,Valid
case0012_002,Not Valid,Not Valid
case0012_003,Valid,Not Valid
case0012_004,Not Valid,Valid
case0012_005,Not Valid,Valid
case0012_006,Valid,Valid
case0018_001,Valid,Not Valid
case0018_002,Valid,Valid
case0018_003,Valid,Valid
case0034_001,Valid,Valid
case0034_002,Not Valid,Valid
case0034_003,Valid,Valid
case0034_004,Not Valid,Valid
case0034_005,Valid,Not Valid
case0043_001,Not Valid,Valid
case0043_002,Valid,Not Valid
case0043_003,Valid,Valid
case0043_004,Valid,Valid
case0043_005,Valid,Valid
case0054_001,Valid,Valid
case0061_001,Valid,Valid
case0061_002,Valid,Valid
case0070_001,Valid,Valid
case0070_002,Valid,Not Valid
case0070_003,Not Valid,Valid
case0070_004,Not Valid,Valid
case0070_005,Valid,Valid
case0070_006,Valid,Not Valid
case0070_007,Valid,Not Valid
case0070_008,Not Valid,Not Valid
case0070_009,Not Valid,Valid
case0070_010,Not Valid,Not Valid
case0070_011,Valid,Not Valid
case0080_001,Not Valid,Valid
case0080_002,Not Valid,Valid
case0080_003,Not Valid,Valid
case0080_004,Valid,Not Valid
case0080_005,Valid,Valid
case0080_006,Valid,Valid
case0088_001,Not Valid,Not Valid
case0088_002,Valid,Valid
case0088_003,Valid,Not Valid
case0088_004,Not Valid,Valid
case0106_001,Valid,Valid
case0106_002,Valid,Valid
case0106_003,Not Valid,Valid
case0106_004,Valid,Valid
case0113_001,Valid,Valid
case0113_002,Valid,Valid
case0113_003,Not Valid,Not Valid
case0115_001,Not Valid,Not Valid
case0115_002,Not Valid,Valid
case0115_003,Not Valid,Not Valid
case0115_004,Valid,Not Valid
case0115_005,Valid,Valid
case0115_006,Valid,Not Valid
case0115_007,Valid,Not Valid
case0127_001,Valid,Valid
case0127_002,Not Valid,Not Valid
case0127_003,Valid,Valid
case0135_001,Not Valid,Not Valid
case0135_002,Not Valid,Not Valid
case0135_003,Valid,Not Valid
case0135_004,Valid,Not Valid
case0135_005,Not Valid,Not Valid
case0135_006,Valid,Not Valid
case0150_001,Valid,Valid
case0150_002,Valid,Not Valid
case0150_003,Not Valid,Not Valid
case0150_004,Not Valid,Not Valid
case0200_001,Valid,Valid
case0208_001,Not Valid,Valid
case0212_001,Valid,Valid
case0212_002,Valid,Not Valid
case0212_003,Not Valid,Not Valid
case0212_004,Not Valid,Not Valid
case0246_001,Valid,Valid
case0247_001,Not Valid,Valid
case0255_001,Valid,Not Valid
case0255_002,Valid,Not Valid
case0255_003,Not Valid,Not Valid
case0274_001,Valid,Valid
case0274_002,Not Valid,Valid
case0275_001,Valid,Valid
case0275_002,Valid,Not Valid
case0277_001,Not Valid,Valid
case0277_002,Not Valid,Valid
case0277_003,Valid,Valid
case0277_004,Not Valid,Valid
